CUM;ATC INVIMA;DESCRIPCIÓN ATC;FORMA FARMACÉUTICA;PRODUCTO;CANTIDAD PRINCIPIO ACTIVO;CANTIDAD PRINCIPIO ACTIVO SEGUNDARIO;UNIDAD BASE;VOLUMEN;UNIDAD VOLUMEN;PESO;UNIDAD PESO;CONCENTRACIÓN;UNIDAD CONCENTRACIÓN;CANTIDAD PRINCIPIO ACTIVO POR PRESENTACIÓN COMERCIAL;TITULAR;ESTADO CUM - Marzo 2014;UNIDADES POR PRESENTACIÓN COMERCIAL;UNIDAD DE DISPENSACIÓN DE LA PRESENTACION COMERCIAL;PRESENTACIÓN COMERCIAL;ID MERCADO RELEVANTE;MERCADO RELEVANTE;CIRCULAR - CNPMDM;FECHA DE ENTRADA EN VIGENCIA;MARGEN DE IPS -CIRCULAR 01 2014;ALEMANIA;ARGENTINA;AUSTRALIA;BRASIL;CANADA;CHILE;COLOMBIA;ECUADOR;EE.UU.;ESPAÑA;FRANCIA;MEXICO;NORUEGA;PANAMA;PERU;PORTUGAL;REINO UNIDO;URUGUAY
20008675-1;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;2100;PFIZER;VIGENTE;28;CAPSULAS;28 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;2818.69;;;31836.59;46239.87;79104.7;;40267.07;174240.29;231606.15;40464.45;31545.75;45265.09;40362.27;;77879.26;39981.46;130187.11;
20008675-17;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;7500;PFIZER;VIGENTE;100;CAPSULAS;100 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;10066.77;;;113702.1;165142.41;282516.79;;143810.95;622286.74;827164.84;144515.89;112663.38;161661.03;144150.96;;278140.22;142790.94;464953.96;
20008675-18;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;15000;PFIZER;VIGENTE;200;CAPSULAS;200 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;20133.53;;;227404.21;330284.81;565033.59;;287621.9;1244573.48;1654329.68;289031.78;225326.76;323322.06;288301.91;;556280.43;285581.88;929907.93;
20008675-3;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;2250;PFIZER;VIGENTE;30;CAPSULAS;30 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;3020.03;;;34110.63;49542.72;84755.04;;43143.29;186686.02;248149.45;43354.77;33799.01;48498.31;43245.29;;83442.06;42837.28;139486.19;
20008675-4;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;450;PFIZER;VIGENTE;6;CAPSULAS;6 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;604.01;;;6822.13;9908.54;16951.01;;8628.66;37337.2;49629.89;8670.95;6759.8;9699.66;8649.06;;16688.41;8567.46;27897.24;
20008675-5;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;525;PFIZER;VIGENTE;7;CAPSULAS;7 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;704.67;;;7959.15;11559.97;19776.18;;10066.77;43560.07;57901.54;10116.11;7886.44;11316.27;10090.57;;19469.82;9995.37;32546.78;
20008675-6;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;750;PFIZER;VIGENTE;10;CAPSULAS;10 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;1006.68;;;11370.21;16514.24;28251.68;;14381.1;62228.67;82716.48;14451.59;11266.34;16166.1;14415.1;;27814.02;14279.09;46495.4;
20008675-7;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;1050;PFIZER;VIGENTE;14;CAPSULAS;14 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;1409.35;;;15918.29;23119.94;39552.35;;20133.53;87120.14;115803.08;20232.22;15772.87;22632.54;20181.13;;38939.63;19990.73;65093.55;
20008675-8;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;1500;PFIZER;VIGENTE;20;CAPSULAS;20 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;2013.35;;;22740.42;33028.48;56503.36;;28762.19;124457.35;165432.97;28903.18;22532.68;32332.21;28830.19;;55628.04;28558.19;92990.79;
20008675-9;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;75;;mg;;;;;;;4500;PFIZER;VIGENTE;60;CAPSULAS;60 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;6040.06;;;68221.26;99085.44;169510.08;;86286.57;373372.04;496298.9;86709.53;67598.03;96996.62;86490.57;;166884.13;85674.56;278972.38;
